timestamp,trial_number,state,n_conv_blocks,filters_per_block,conv_act,pooling_type,use_bn,conv_dropout,n_dense_layers,dense_units,dense_act,dense_dropout,lr,weight_decay,epochs_trained,val_accuracy,val_f1_macro,best_val_accuracy,best_val_f1_macro,n_params
2026-04-24T00:26:40,0,COMPLETE,2,"[64, 128]",relu,max,False,0.1803,2,"[256, 256]",relu,0.2637,0.00076,0.00023271,35,0.4,0.3883,0.4,0.3883,180375
2026-04-24T00:36:21,1,COMPLETE,2,"[32, 128]",relu,max,False,0.1368,2,"[256, 256]",elu,0.2139,0.0020254,0.0002193,35,0.4005,0.3671,0.4298,0.398,142615
2026-04-24T00:42:53,2,COMPLETE,2,"[64, 128]",relu,max,True,0.0366,1,[128],relu,0.3988,0.0010249,0.00109682,20,0.3803,0.3499,0.3894,0.3645,95895
2026-04-24T00:53:57,3,COMPLETE,3,"[32, 32, 64]",relu,max,False,0.0265,1,[128],elu,0.2814,0.0033706,0.00051702,35,0.4182,0.39,0.4278,0.4049,39927
2026-04-24T00:58:36,4,COMPLETE,2,"[32, 128]",elu,avg,True,0.0017,2,"[128, 128]",elu,0.2222,0.0011414,0.00017051,35,0.4237,0.4001,0.4242,0.4002,74519
2026-04-24T01:12:30,5,COMPLETE,3,"[64, 64, 128]",relu,avg,True,0.2662,1,[128],elu,0.3684,0.0029508,0.00097183,35,0.3439,0.31,0.3778,0.3382,133079
2026-04-24T01:30:17,6,COMPLETE,3,"[32, 64, 128]",elu,avg,False,0.2723,1,[128],relu,0.2231,0.0009744,0.00021011,35,0.2934,0.251,0.296,0.2549,112727
2026-04-24T01:36:29,7,COMPLETE,3,"[64, 128, 128]",elu,max,True,0.2422,2,"[256, 256]",elu,0.3281,0.0032884,0.00526576,35,0.3162,0.2851,0.4056,0.3809,329239
2026-04-24T01:58:45,8,COMPLETE,2,"[32, 128]",relu,avg,True,0.1556,2,"[256, 128]",relu,0.2755,0.0015712,0.00039972,28,0.2778,0.2414,0.3894,0.3676,107415
2026-04-24T02:09:42,9,COMPLETE,2,"[32, 32]",relu,avg,True,0.0435,1,[256],elu,0.4285,0.0008642,0.00286044,22,0.3636,0.3233,0.3707,0.3285,24759
2026-04-24T02:15:17,10,COMPLETE,3,"[32, 32, 64]",elu,max,False,0.0939,1,[256],elu,0.4977,0.0049052,0.00076536,35,0.4389,0.4037,0.4389,0.4037,51191
2026-04-24T02:20:07,11,COMPLETE,3,"[32, 32, 64]",elu,max,False,0.0936,1,[256],elu,0.4833,0.0049674,0.00075322,35,0.4071,0.3848,0.4192,0.3913,51191
2026-04-24T02:24:56,12,COMPLETE,3,"[32, 32, 64]",elu,max,False,0.0928,1,[256],elu,0.4863,0.004971,0.00194692,35,0.4384,0.3946,0.4475,0.412,51191
2026-04-24T02:29:46,13,COMPLETE,3,"[32, 32, 64]",elu,max,False,0.0772,1,[256],elu,0.3155,0.0031814,0.00235269,35,0.4732,0.4491,0.4732,0.4491,51191
2026-04-24T02:34:36,14,COMPLETE,3,"[32, 64, 64]",elu,max,False,0.0868,1,[256],elu,0.3289,0.0005376,0.00223224,35,0.3434,0.3216,0.3949,0.3702,78871
2026-04-24T02:40:26,15,COMPLETE,3,"[32, 64, 64]",elu,max,False,0.2096,1,[256],elu,0.4452,0.0019054,0.00969324,35,0.3924,0.3607,0.398,0.3618,78871
2026-04-24T02:46:14,16,COMPLETE,3,"[32, 64, 64]",elu,max,False,0.1161,1,[256],elu,0.3606,0.0026474,0.00222174,31,0.3965,0.3605,0.4389,0.4061,78871
2026-04-24T02:51:24,17,COMPLETE,3,"[32, 64, 128]",elu,max,False,0.0762,1,[256],elu,0.3065,0.0039344,0.00385675,35,0.446,0.4128,0.4747,0.4396,132183
2026-04-24T02:57:43,18,COMPLETE,3,"[32, 64, 128]",elu,max,False,0.0614,1,[256],relu,0.3105,0.0023564,0.00440155,35,0.4399,0.4153,0.4495,0.4318,132183
2026-04-24T03:04:03,19,COMPLETE,3,"[64, 64, 128]",elu,max,False,0.0664,1,[256],elu,0.2945,0.0038773,0.00954708,35,0.4879,0.4585,0.4904,0.461,151511
2026-04-24T03:12:48,20,COMPLETE,3,"[64, 128, 128]",elu,max,False,0.1305,2,"[128, 128]",elu,0.2531,0.0013607,0.00915151,35,0.4399,0.42,0.4455,0.4222,259223
2026-04-24T03:24:07,21,COMPLETE,3,"[64, 64, 128]",elu,max,False,0.0658,1,[256],elu,0.2996,0.0040071,0.00521499,35,0.5061,0.4723,0.5061,0.4773,151511
2026-04-24T03:32:51,22,COMPLETE,3,"[64, 64, 128]",elu,max,False,0.0604,1,[256],elu,0.3027,0.0037495,0.00619627,35,0.4611,0.4306,0.499,0.4685,151511
2026-04-24T03:41:36,23,COMPLETE,3,"[64, 64, 128]",elu,max,False,0.0052,1,[256],elu,0.2888,0.0038921,0.00578832,35,0.4909,0.4606,0.4934,0.465,151511
2026-04-24T03:50:22,24,COMPLETE,3,"[64, 64, 128]",elu,max,False,0.0066,1,[256],elu,0.2486,0.004091,0.00591109,35,0.4798,0.4426,0.4975,0.4639,151511
2026-04-24T03:59:08,25,COMPLETE,3,"[64, 64, 128]",elu,max,False,0.0272,1,[256],elu,0.3365,0.0023097,0.00685801,35,0.4747,0.4419,0.4747,0.4419,151511
2026-04-24T04:07:55,26,COMPLETE,3,"[64, 128, 128]",elu,avg,False,0.0544,1,[256],relu,0.3524,0.0040579,0.00328375,8,0.0273,0.0023,0.1369,0.0587,262167
2026-04-24T04:10:27,27,COMPLETE,3,"[64, 64, 128]",elu,max,False,0.0075,1,[256],elu,0.3818,0.0026861,0.00164178,35,0.4646,0.4402,0.4788,0.4476,151511
2026-04-24T04:19:13,28,COMPLETE,3,"[64, 64, 128]",elu,max,False,0.1139,1,[128],elu,0.243,0.0035641,0.00639104,35,0.4798,0.4543,0.4934,0.4656,132055
2026-04-24T04:27:57,29,COMPLETE,2,"[32, 32]",elu,max,False,0.1737,2,"[256, 128]",relu,0.2405,0.0006102,0.00151707,21,0.2409,0.2081,0.2717,0.2296,54455
2026-04-24T04:30:37,30,COMPLETE,3,"[64, 128, 128]",elu,max,False,0.1135,1,[128],elu,0.2012,0.0018263,0.00676585,34,0.4561,0.4361,0.4697,0.445,242711
2026-04-24T04:41:33,31,COMPLETE,3,"[64, 64, 128]",elu,max,False,0.0468,1,[128],elu,0.2817,0.0034818,0.00453752,35,0.4778,0.4437,0.4859,0.4643,132055
2026-04-24T04:50:18,32,COMPLETE,3,"[64, 64, 128]",elu,max,False,0.0215,1,[128],elu,0.2639,0.0043369,0.00011306,35,0.4409,0.4341,0.4894,0.4654,132055
2026-04-24T04:59:03,33,COMPLETE,3,"[32, 64, 128]",elu,max,False,0.1098,1,[128],elu,0.264,0.0044418,0.00014028,16,0.3535,0.3074,0.3535,0.3177,112727
2026-04-24T05:01:59,34,COMPLETE,3,"[64, 64, 128]",relu,max,False,0.1405,1,[128],elu,0.2337,0.0028492,0.00010437,35,0.3515,0.3172,0.3692,0.3409,132055
2026-04-24T05:10:15,35,COMPLETE,2,"[32, 64]",elu,max,False,0.029,1,[128],elu,0.2625,0.0023471,0.00043125,35,0.3611,0.3355,0.3717,0.3492,30679
2026-04-24T05:15:31,36,COMPLETE,3,"[64, 128, 128]",relu,max,True,0.298,1,[128],elu,0.2988,0.0034231,0.00031838,30,0.3889,0.3499,0.403,0.3645,243991
2026-04-24T05:34:05,37,COMPLETE,3,"[64, 64, 128]",elu,avg,False,0.0229,2,"[256, 128]",relu,0.2624,0.0036742,0.00760894,23,0.2288,0.1668,0.2288,0.1668,181463
2026-04-24T05:39:46,38,COMPLETE,2,"[64, 64]",relu,max,True,0.0581,1,[128],elu,0.214,0.0044468,0.00361596,27,0.3904,0.3586,0.4475,0.4203,50519
2026-04-24T05:52:05,39,COMPLETE,3,"[32, 64, 128]",elu,avg,False,0.044,1,[128],elu,0.274,0.0029481,0.00113828,35,0.4293,0.3988,0.4293,0.3988,112727
